kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K00571.04",8120608,"Kepler-186 e","CONFIRMED","CANDIDATE",22.40777833,1.15,661.3,153.79858
"K00577.01",8558011,"Kepler-607 c","CONFIRMED","CANDIDATE",39.6766071,2.29,611.2,178.55555
"K07892.01",8540376,"Kepler-457 d","CONFIRMED","CANDIDATE",10.692115,2.71,408.4,141.116
"K00582.03",9020160,"Kepler-191 b","CONFIRMED","CANDIDATE",9.93962361,1.93,300.1,131.58267
"K00605.01",4832837,"Kepler-621 b","CONFIRMED","CANDIDATE",2.628117322,1.77,936.8,169.718913
"K00523.02",8806123,"Kepler-177 b","CONFIRMED","CANDIDATE",36.8567758,2.68,714.1,138.90683
"K00547.01",12116489,"Kepler-595 b","CONFIRMED","CANDIDATE",25.30291816,3.95,2105.7,188.060148
"K00563.01",6707833,"Kepler-602 b","CONFIRMED","CANDIDATE",15.28467725,2.7,321.3,175.62345
"K00567.03",7445445,"Kepler-184 d","CONFIRMED","CANDIDATE",29.02235217,2.55,637.6,198.37025
"K00571.05",8120608,"Kepler-186 f","CONFIRMED","CANDIDATE",129.945392,1.18,500.1,176.82285
"K00577.02",8558011,"Kepler-607 b","CONFIRMED","CANDIDATE",0.638162933,0.91,109.7,131.74826
"K00583.01",9076513,"Kepler-611 b","CONFIRMED","CANDIDATE",2.437029217,2.04,244,170.73808
"K00598.01",10656823,"Kepler-195 b","CONFIRMED","CANDIDATE",8.30783912,2.15,777.5,171.17201
"K00094.04",6462863,"Kepler-89 b","CONFIRMED","CANDIDATE",3.743166733,1.5,126.3,131.61967
"K00610.01",5686174,"Kepler-622 b","CONFIRMED","CANDIDATE",14.28228147,1.82,983.2,180.84677
"K00612.01",6587002,"Kepler-196 b","CONFIRMED","CANDIDATE",20.73989406,2.11,616.1,173.21912
"K00508.02",6266741,"Kepler-170 c","CONFIRMED","CANDIDATE",16.6658994,2.85,754.2,180.20215
"K00512.01",6838050,"Kepler-583 b","CONFIRMED","CANDIDATE",6.51003001,2.78,602.8,172.91588
"K00519.02",8022244,"Kepler-175 c","CONFIRMED","CANDIDATE",34.0350605,2.76,727.8,134.42752
"K00524.01",8934495,"Kepler-1721 b","CONFIRMED","CANDIDATE",4.592393816,2.51,1027.7,172.004723
"K00532.01",10454313,"Kepler-588 b","CONFIRMED","CANDIDATE",4.221626193,2.87,658,173.699895
"K00598.02",10656823,"Kepler-195 c","CONFIRMED","CANDIDATE",34.0963441,1.71,472.7,153.82654
"K00612.02",6587002,"Kepler-196 c","CONFIRMED","CANDIDATE",47.4277116,2.33,820.4,216.55737
"K00612.03",6587002,"Kepler-196 d","CONFIRMED","CANDIDATE",122.0804953,2.92,799.9,155.02532
"K00614.01",7368664,"Kepler-434 b","CONFIRMED","CANDIDATE",12.874712426,11.26,3860.7,170.022499
"K00097.01",5780885,"Kepler-7 b","CONFIRMED","CANDIDATE",4.885488596,16.66,7458.4,134.2768785
"K00509.01",6381846,"Kepler-171 b","CONFIRMED","CANDIDATE",4.16696628,2.74,877.7,169.715517
"K00513.01",6937692,"Kepler-584 b","CONFIRMED","CANDIDATE",35.18105723,4.17,987.7,170.09969
"K00520.01",8037145,"Kepler-176 c","CONFIRMED","CANDIDATE",12.75934489,2.58,882.1,170.32152
"K00541.01",11656721,"Kepler-594 b","CONFIRMED","CANDIDATE",13.64617478,2.06,633,180.34991
